len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label
110,1,1412,-1,1412,-1,1412,-1,180,-1,104,1,1412,-1,1412,-1,0.3870000000000262,1.2179999999999414,1.1910000000000531,1.1670000000000291,0.05199999999994098,1.1809999999999876,1.2530000000000596,29069,98,1412,11,21,8,17,406.40999999999997,366.7230000000001,0,0,0,0,0,0,0,0,google-doc
101,1,328,1,144,1,87,-1,155,1,190,1,87,-1,1412,-1,63.72,0.0700000000000145,17.31000000000015,23.699999999999832,0.08000000000008356,19.68000000000015,10.609999999999786,15588,86,1412,15,17,16,7,1411.1700000000003,763.2100000000003,0,0,0,0,0,0,0,0,google-doc
101,1,1412,-1,180,-1,1412,-1,1354,-1,113,1,1412,-1,1412,-1,0.16000000000016001,1.1799999999997368,1.2199999999999989,1.2099999999994893,0.9600000000000719,0.300000000000189,1.2100000000003774,27677,98,1412,8,24,13,18,50.349999999999895,16.169999999999796,0,0,0,0,0,0,0,0,google-doc
87,-1,305,1,482,1,87,1,87,-1,297,-1,103,-1,107,1,7.399999999998741,2.200000000000202,0.09999999999976694,16.100000000001558,115.1,1.1999999999989654,2.1000000000004206,6064,86,482,14,18,20,0,593.1999999999996,198.3000000000015,0,0,0,0,0,0,0,0,google-doc
107,1,1412,-1,1412,-1,1412,-1,104,1,1412,-1,1412,-1,1412,-1,0.3949999999999787,1.4339999999999908,1.4350000000000196,0.7079999999999864,0.7300000000000084,1.438999999999968,1.4760000000000328,27041,87,1412,12,20,10,16,626.0,433.774,0,0,0,0,0,0,0,0,google-doc
1412,-1,1412,-1,110,1,1412,-1,180,-1,1412,-1,104,1,1412,-1,1.4499999999999513,1.0399999999999299,0.42000000000008697,1.4099999999999113,1.4600000000000168,0.7099999999999884,0.7500000000000284,17502,80,1412,11,21,15,8,926.9799999999999,571.8,0,0,0,0,0,0,0,0,google-doc
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,0.0,0.19999999999953388,0.0,0.09999999999976694,2.100000000000435,0.0,1.900000000000901,36239,87,1412,25,7,6,25,57.299999999999685,23.19999999999922,0,0,0,0,0,0,0,0,google-doc
1412,1,1412,1,814,1,87,-1,87,-1,372,-1,104,1,80,-1,1.900000000000901,0.09999999999976694,15.900000000000247,6.999999999999673,290.1000000000007,3.8999999999998067,5.699999999999136,9839,80,1412,14,18,16,2,798.1999999999996,290.1000000000007,0,0,0,0,0,0,0,0,google-doc
127,1,1412,-1,1412,-1,1412,-1,188,-1,1412,-1,167,-1,1412,-1,1.5240000000000253,0.23800000000001598,0.5059999999999509,0.003000000000030756,0.6889999999999952,0.08599999999997499,1.4880000000000448,26041,87,1412,8,24,12,15,925.2710000000001,888.3539999999999,0,0,0,0,0,0,0,0,google-doc
1412,-1,998,-1,92,-1,298,-1,112,1,772,1,1412,1,1412,1,0.4399999999997739,1.3700000000000934,0.08000000000008001,1.4500000000001734,784.0899999999995,0.10000000000070486,0.019999999999186002,29324,80,1412,23,9,7,17,2510.6899999999996,1565.5900000000001,0,0,0,0,0,0,0,0,google-doc
